Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Six of Ninety-Six	Virtual_OTF_Open_Warp	RIF_12V	RiF	12 V	FC	univ	Personnel		Borg		5	5	7					[Def][DQ]		Human/Borg; Drone;				Identification: RECONNAISSANCE DRONE Task: Scout areas where resistance is anticipated. Secure. Biological Distinctiveness: Human species.			Exobiology SECURITY Transporter Skill Navigation When you play this personnel, you may shuffle any deck then peek at the top two cards.
Queen's Borg Sphere (Resistance is Futile)	Virtual_OTF_Open_Warp	RIF_17V	RiF	17 V	FC		Ship		Borg	Borg Sphere	6	7	6	20				[DQ]	[Nav][Nav]  OR {Borg Queen}	Borg ship;	Borg cube;		Borg Queen	Identification: BORG SPHERE Task: Contingency vessel. Assimilate human homeworld. Borg Queen commands.			May be reported aboard, carried aboard and launched from any of your Borg cubes. DL/ {Optimize Drones}
Geordi La Forge (First Contact) *VP	Trad_Virtual_OTF_Open_Warp	74VP	VP	74 VP	FC		Personnel		Federation	ENGINEER	7	8	6					[Ent-E]		Human; Male;		Geordi La Forge		In 2371, Chief Engineer Geordi La Forge received ocular implants that surpassed the functions of his old VISOR. Attended Zefram Cochrane High School.			ENGINEER ENGINEER Computer Skill Physics Leadership DL/ {Ocular Implants}
Process Ore *VP	Trad_Virtual_OTF_Open_Warp	72VP	VP	72 VP	DS9		Objective																				Plays on an {Ore Processing Unit}. Start of each turn, if you control this Nor at a planet location and you have a matching ENGINEER or SECURITY personnel unopposed here, you may "process ore." Discard one card from hand, place bottom card of discard pile beneath draw deck or out-of-play, then draw up to two cards.
Odo (Homefront II) *VP	Virtual_OTF_Open_Warp	HMF2_37	VP	60 P	DS9		Personnel		Dominion	SECURITY	8	7	9					[Cmd][GQ]		Changeling; Founder; Male; Shape-shifter;				The Great Link's savior, the changeling Odo became a Founder to save his people and secure peace at the close of the Dominion War.			SECURITY SECURITY Leadership Honor Law Computer Skill Anthropology Exobiology
Hanonian Land Eel *VP	Trad_Virtual_OTF_Open_Warp	70VP	VP	70 VP	VOY		Dilemma	[P]																While stranded on a savage world by the Kazon-Nistrim, the crew of U.S.S. Voyager encountered a carnivorous creature with an appetite for Starfleet engineers.			Unless SECURITY, SCIENCE, and STRENGTH>50 present, kills Away Team member with lowest CUNNING or fewest [*] icons (opponent's choice).
Jadzia Dax (Blaze of Glory) *VP	Trad_Virtual_OTF_Open_Warp	75VP	VP	75 VP	DS9		Personnel		Klingon	SCIENCE	8	9	8					(R>[Cmd]		Trill; Female; Trill with symbiont;		Jadzia Dax		Trill. Disregarded her commitments to both Starfleet and Trill custom in order to honor a Klingon blood oath sworn by her symbiont's previous host, Curzon Dax.			SCIENCE ENGINEER Diplomacy Anthropology Honor Other (R> personnel present are attributes all +2.
Anij *VP	Trad_Virtual_OTF_Open_Warp	76VP	VP	76 VP	Ins		Personnel		Non-Aligned	CIVILIAN	8	8	4							Ba'ku; Female;		Anij		Ba'ku female who became romantically involved with Jean-Luc Picard. In her 300 years, learned to sustain a perfect moment in time - but never learned to swim.	War Council	Jean-Luc Picard	CIVILIAN Twice per game, may nullify a non-[Ref] interrupt and place it atop owner's draw deck. Anthropology
Dr. Telek R'Mor *VP	Trad_Virtual_OTF_Open_Warp	77VP	VP	77 VP	VOY		Personnel		Romulan	SCIENCE	7	7	7					[AU][Cmd]		Romulan; Male;		Dr. Telek R'Mor		Romulan Astrophysical Academy member on deep space duty in 2351. Beamed to the present via a micro-wormhole to the U.S.S. Voyager.			SCIENCE Astrophysics x 2 Stellar Cartography Honor ENGINEER May report directly to any ship.
Kobayashi Maru Scenario *VP	Trad_Virtual_OTF_Open_Warp	KMS_Promo	VP	78 VP	TWOK		Incident																				Seeds or plays on a mission; adds Computer Skill to mission requirements. At the start of each mission attempt here, one attempting personnel (random selection) is placed beneath this incident ("in play" for uniqueness only). When a player solves this mission, all of their compatible personnel beneath this incident join the solving crew or Away Team (any other personnel are discarded). (Unique.)
A Good Day to Lie	Virtual_b01_OTF_Open_Warp	tng_1V	TNG	1 V	TNG		Dilemma	[S/P]																The Duras family's untrustworthiness is equal to their ambition. Duras tarnished Worf's honor, tried to have Picard killed, poisoned K'mpec, and murdered K'Ehleyr.			To get past, requires 3 Diplomacy OR 3 Treachery. If a [Kli] Treachery personnel in play, opponent may then download {Duras} to anywhere at this location.
All Available Personnel	Virtual_b01_OTF_Open_Warp	tng_2V	TNG	2 V	TNG		Dilemma	[S/P]																In 2369, a skeleton crew was left aboard the Enterprise while the rest of the crew searched for their rogue android.			Opponent may download {Balancing Act} to table as [Incident] OR download {Skeleton Crew} atop any mission. Cannot get past unless you began mission attempt with at least six personnel.
Diplomatic Intervention	Virtual_b01_OTF_Open_Warp	tng_3V	TNG	3 V	TNG		Dilemma	[P]										[2]			Ambassador;			The Federation often sends expert negotiators to defuse volatile situations before they spiral out of control.			Opponent may download up to two [Fed] ambassadors to planet; they cannot be battled this turn. Place on mission. To solve mission, you must have more Diplomacy here than opponent.
Divided Loyalties	Virtual_b01_OTF_Open_Warp	tng_4V	TNG	4 V	TNG		Dilemma	[S/P]																Torn between his allegiance to Starfleet and his Klingon heritage, Worf resigned his commission to serve his people in the Klingon Civil War.			All multi-affiliation personnel and dual personnel are "stopped" for your next two full turns. To get past requires CUNNING>20 (or CUNNING>40 if this is a [DQ] mission).
Ferengi Ambush	Virtual_b01_OTF_Open_Warp	tng_5V	TNG	5 V	TNG		Dilemma	[P]													Ferengi;			Despite prior agreements about cooperating in a joint exploration of Delphi Ardu IV, the Ferengi seized the chance to get the better of their Federation adversaries.			Opponent may download to this planet up to three different [Univ] Ferengi and/or one {Ferengi Whip}. They may initiate battle (if possible).
I'm Not Going to Fight You	Virtual_b01_OTF_Open_Warp	tng_6V	TNG	6 V	TNG		Dilemma	[P]										[2]		Tamarian-related dilemma;				Misinterpreting the Tamarian's intent, Picard was unable to comprehend the true source of danger on the planet.			Opponent may download and seed here up to two of the following: {Chalnoth}, {El-Adrel Creature}, {Nausicaans}, or {Rebel Encounter}, then place on mission. Each of those dilemmas here first "stops" one Diplomacy (your choice).
Local Trouble	Virtual_b01_OTF_Open_Warp	tng_7V	TNG	7 V	TNG		Dilemma	[P]																Even well-intentioned contact with less-advanced civilizations can still lead to disastrous repercussions.			To get past requires Anthropology and STRENGTH>24. Opponent may then download and seed here up to two of the following: {Archer}, {Hunter Gangs}, or {Punishment Zone}.
Magnetic Field Disruptions	Virtual_b01_OTF_Open_Warp	tng_8V	TNG	8 V	TNG		Dilemma	[S]																Proximity to severe stellar phenomena can disrupt shipboard systems. In 2364, intense magnetic fields from the Delos star overloaded many consoles on the U.S.S. Enterprise.			One personnel (random selection) is killed unless you "stop" a personnel with Astrophysics or Navigation. To get past requires CUNNING>24 remaining.
Microbrain	Virtual_b01_OTF_Open_Warp	tng_9V	TNG	9 V	TNG		Dilemma	[S/P]																Small, solar-powered, inorganic collective life-form native to Velara III. Sabotaged Federation terraforming operations to protest the destruction of their home.			To get past, one Exobiology OR Geology personnel (opponent's choice) is "stopped." Nullify with a personnel who has either 3 Exobiology OR 3 Geology.
Pinned Down	Virtual_b01_OTF_Open_Warp	tng_10V	TNG	10 V	TNG		Dilemma	[S/P]												Q-related dilemma;				Confronted with Sir Guy of Gisbourne's archers, Jean-Luc Picard, posing as Robin Hood, ordered his crew deeper into Q's recreation of Sherwood Forest.			To get past, two personnel (random selection) must be "stopped." Then, if any [Q] card in play, another personnel (random selection) is "stopped."
Temptation	Virtual_b01_OTF_Open_Warp	tng_11V	TNG	11 V	TNG		Dilemma	[S/P]																Despite overtures of friendship from the House of Duras, the Arbiter of Succession was unswayed, noting they had manipulated the circumstances with the skill of a Romulan.			To get past, three personnel (random selection) must be "tempted." Each one without Honor OR Treachery is "stopped."
Tense Negotiations	Virtual_b01_OTF_Open_Warp	tng_12V	TNG	12 V	TNG		Dilemma	[S/P]																Experienced diplomats are willing to meet their opponents on their terms and to confront challenges to their integrity with appropriate invectives when necessary.			To get past, one Diplomacy OR Leadership personnel (opponent's choice) must be "stopped." Nullify with a personnel who has either 3 Diplomacy OR 3 Leadership.
Triage	Virtual_b01_OTF_Open_Warp	tng_13V	TNG	13 V	TNG		Dilemma	[P]																Prioritizing the most urgent cases first, as Dr. Crusher did on Rutia IV, requires swift evaluation and unbiased medical judgment to save as many lives as possible.			One personnel (random selection) is killed unless you "stop" a personnel with Biology or MEDICAL. To get past requires INTEGRITY>22 remaining.
War Games	Virtual_b01_OTF_Open_Warp	tng_14V	TNG	14 V	TNG		Dilemma	[S]						5										The crews of the Enterprise and the Hathaway were forced to abandon their simulated battle to confront a real adversary.			To get past requires 2 ENGINEER, SECURITY, and Navigation. Then, place on ship; if opponent's ship moves to this location, discard dilemma and opponent scores points.
Warp Bubble Mishap	Virtual_b01_OTF_Open_Warp	tng_15V	TNG	15 V	TNG		Dilemma	[S]																When one of his warp field experiments trapped his mother in a collapsing warp bubble, Wesley was fortunate an expert was on hand to aid in her rescue.			One personnel (random selection) is killed unless you "stop" a personnel with Physics or SCIENCE. To get past requires CUNNING>24 remaining.
Cowboy Diplomacy	Virtual_b01_OTF_Open_Warp	tng_16V	TNG	16 V	TNG		Event							5										Spock undertook a personal mission to reconcile ancient enemies Romulus and Vulcan. Starfleet took a dim view of his brash actions.			Once per game, plays (for free) to score points if your [Fed] Diplomacy personnel is on a planet mission opponent seeded.
General Quarters	Virtual_b01_Open_Warp	tng_17V	TNG	17 V	TNG		Event											[HA][Ref]						During shipboard emergencies such as Roga Danar's escape from the U.S.S. Enterprise brig in 2366, off-duty crew and civilians are advised to stay in their quarters for safety.			Seeds or plays on table. May not leave play. All players may only download personnel into play once every turn.
Heart of Glory	Virtual_b01_OTF_Open_Warp	tng_18V	TNG	18 V	TNG		Event							5X										Disillusioned with a modern Klingon society corrupted by the illusion of peace, Korris and Konmel sought to live their lives like true Klingons.			Plays on your Klingon (for free if {Korris} or {Konmel}). X varies, where X=number of personnel this Klingon stuns or mortally wounds (limit three). (Unique.)
Let's See What's Out There	Virtual_b01_OTF_Open_Warp	tng_19V	TNG	19 V	TNG		Event																	Starship crews often venture beyond the reaches of known space to explore strange new worlds, broaden their knowledge, and expand their power in the universe.			Plays to draw two cards. If you have 4 [TNG] personnel at one or more missions opponent seeded where there is no facility, draw two additional cards. Discard event.
You Are a Monument	Virtual_b01_Open_Warp	tng_20V	TNG	20 V	TNG		Event											[HA][Ref]						An ancient humanoid race, realizing they were alone in their part of the galaxy, seeded new life on other Alpha and Beta Quadrant worlds as a monument to their existence.			Plays on table. May not leave play. Each player who has not solved (or scouted) an Alpha Quadrant mission needs an additional 40 points to win.
Attention All Hands	Virtual_b01_OTF_Open_Warp	tng_21Va	TNG	21 V	TNG		Incident											[WC]									Seeds or plays on table. Once each turn, your [Univ][TNG] personnel (except an android, hologram, or [AU]) that you do not already have in play may report (for free) aboard your matching outpost. Once per game, in place of your normal card play, you may download a [Univ][TNG] ship to your matching outpost.
Continuing Mission	Virtual_b01_OTF_Open_Warp	tng_22Va	TNG	22 V	TNG		Incident																				Seed one on table. You may download one [WC] card. Your personnel and ships that have a Star Trek: The Next Generation or Star Trek Generations property logo gain [TNG] (even if not in play). Once each turn, when you play a [TNG] personnel with four or fewer [*] icons (and no DL/ ), you may draw a card. Discard this incident if you play (or have played) a non-[TNG] personnel or ship.
Equipment Replicator	Virtual_b01_OTF_Open_Warp	tng_23V	TNG	23 V	TNG		Incident											[WC]									Seeds or plays on your non-[DQ] ship that requires [Cmd] or your non-[DQ] outpost. Once each turn, in place of a card draw, you may download any {Kit}, {PADD}, {Relay}, {Scanner}, or {Tricorder} equipment to your [TNG] personnel or 3 non-[AU] ENGINEER aboard.
Ferengi Military Operations	Virtual_b01_OTF_Open_Warp	tng_24Va	TNG	24 V	TNG		Incident											[WC]		Capturing-related card;	DaiMon;						Plays on table. Once each turn, your [TNG][Fer] personnel (except V.I.P. or CIVILIAN) may report (for free) to your [Fer] outpost. Once per game, if your [Fer] DaiMon is at a location where you win a battle, capture an opponent's personnel, or commandeer an opponent's ship, choose two of the following: score 5 points, draw two cards, or download an equipment there.
Finest Crew in the Fleet	Virtual_b01_OTF_Open_Warp	tng_25V	TNG	25 V	TNG		Incident											[WC]			U.S.S. Enterprise-related personnel;						Plays on table. Once each turn, your {[TNG][Fed] personnel with "U.S.S. Enterprise" in lore} may report (for free) aboard your U.S.S. Enterprise or to your [Fed] outpost. Once per game, if your matching commander is aboard your U.S.S. Enterprise, you may download one {Federation Flagship} card to hand.
Get It Done	Virtual_b01_OTF_Open_Warp	tng_26V	TNG	26 V	TNG		Incident													Captains Order;							Plays on table. Once each turn, you may place two [TNG] cards from hand on the bottom of your deck to choose: make a unique [TNG] personnel attributes +2 until end of turn OR make a [TNG] ship range +2 until end of turn OR shuffle the bottom three personnel and/or ships from your discard pile into your draw deck. After any use, discard incident OR discard a [TNG] card from hand. (Captain's Order.)
Legitimate Leader of the Empire	Virtual_b01_OTF_Open_Warp	tng_27V	TNG	27 V	TNG		Incident											[WC]									Plays on table. In place of your normal card play, you may download {Gowron} to your facility. While your Gowron is at a non-homeworld mission, once each turn, your non-Treachery [TNG][Kli] personnel may report (for free) to him or to your [Kli] outpost. When your [TNG][Kli] personnel targeted by {Arbiter of Succession} wins a battle or helps solve a mission, you may draw two cards.
Mercenary Raiders	Virtual_b01_OTF_Open_Warp	tng_28Va	TNG	28 V	TNG		Incident							15				[WC]			Equipment-artifacts; Stone of Gol-related personnel;						Plays on {Calder II}. Your {Galen} and [TNG] personnel with "Stone of Gol" in lore may mix and cooperate regardless of affiliation. Once each turn, one such personnel may report aboard your {Mercenary Ship} (for free). Once per game, you may discard incident and place out-of-play two of your "use as equipment" artifacts in play or one {Vulcan Stone of Gol} (from hand) that you have earned to score points.
Officer Exchange Program	Virtual_b01_OTF_Open_Warp	tng_29V	TNG	29 V	TNG		Incident											[WC]			I.K.S. Pagh-related personnel;						Seeds or plays on table. Once each turn, in place of a card draw, you may download {I.K.S. Pagh} or any [TNG] personnel with "I.K.S. Pagh" in lore to hand. Once every turn, when you are about to place a Tactic on an opponent's ship involved in battle with your I.K.S. Pagh, you may place that Tactic out-of-play instead to score 5 points (once per game per Tactic card title).
Scientific Diplomacy	Virtual_b01_OTF_Open_Warp	tng_30V	TNG	30 V	TNG		Incident											[WC]			Metaphasic Shield-related personnel;						Seeds or plays on {Veytan}. Your {Dr. Reyga}, {T'Pan}, and each of your [TNG] personnel with "metaphasic shield" in lore may report for free to your ship or outpost here (once each turn), and may mix and cooperate with your [TNG] cards. When you solve this mission, you may place a [TNG] SCIENCE personnel from your discard pile in your point area (worth points equal to INTEGRITY).
Strategic Base	Virtual_b01_OTF_Open_Warp	tng_31V	TNG	31 V	TNG		Incident																				Seeds or plays on your outpost (except [Neu] or [Non]). Adds point value of this mission to outpost's DEFENSE total. Your leaders and SECURITY personnel here are attributes all +1. OR Seeds or plays on any mission. If you subsequently build an outpost here, discard incident and draw three cards. (Unique.)
"Tag!"	Virtual_b01_OTF_Open_Warp	tng_32V	TNG	32 V	TNG		Interrupt																	The Ferengi were unprepared for the ingenious games, tricks, and toys the "children" used to retake the Enterprise. "You're it!"			Once per game, downloads (even from your discard pile) a {[TNG] Youth} personnel to replace (discard) your non-Youth [TNG] personnel.
A Matter of Honor	Virtual_b01_OTF_Open_Warp	tng_33V	TNG	33 V	TNG		Interrupt																	To a Klingon, honor is everything.			Once per game, downloads (even from your discard pile) a {[TNG] Honor x2} personnel to replace (discard) your non-Honor [TNG] personnel.
Business Gambit	Virtual_b01_OTF_Open_Warp	tng_34V	TNG	34 V	TNG		Interrupt							5										Many in the Alpha Quadrant, lacking the lobes for business, are wary of the Ferengi Alliance's capitalistic practices.			Once per game, plays to "stop" your [Fer] Greed personnel and an opposing personnel present. Steal an equipment present OR download an equipment there.
Acquire Surplus Ships	Virtual_b01_OTF_Open_Warp	tng_35V	TNG	35 V			Mission	[P]	[KLI][FER]					30		Alpha	4							Complete illicit sale of decommissioned B'rel-class hardware.			Acquisition + ENGINEER + Computer Skill OR Diplomacy + Greed + Treachery
Amnesty Talks	Virtual_b01_OTF_Open_Warp	tng_36V	TNG	36 V			Mission	[S]	Any crew may attempt mission.					35		Alpha	3							Mediate an end to Gatherer raids in this area.			Anthropology + Diplomacy x2 + Law OR Leadership + SECURITY + Treachery x2 OR {Marouk}
Avert Solar Implosion	Virtual_b01_OTF_Open_Warp	tng_37V	TNG	37 V			Mission	[P]	[FED]					35		Alpha	3							Prevent annihilation of inhabited star system by deranged scientist.			Anthropology + Leadership + OFFICER + Honor + STRENGTH>38 OR {James T. Kirk} + {Jean-Luc Picard}
Encounter at Farpoint	Virtual_b01_OTF_Open_Warp	tng_38V	TNG	38 V			Mission	[P]	[FED][NON]					30		Alpha	3							Negotiate with natives for use of their newly-constructed starbase.			Empathy + Exobiology + Honor + INTEGRITY>25 OR Acquisition + Diplomacy + Treachery + CUNNING>30
Host Metaphasic Shielding Test	Virtual_b01_OTF_Open_Warp	tng_39V	TNG	39 V			Mission	[S]	[FED][KLI][NON][FER]					40		Alpha	4			Test mission;				Test revolutionary shield design within star's superdense corona.			Diplomacy + ENGINEER + Navigation + SCIENCE When you solve, may download {Metaphasic Shields} here.
Intercept Sleeper Ship	Virtual_b01_OTF_Open_Warp	tng_40V	TNG	40 V			Mission	[S]	[FED][ROM][KLI][NON]					40		Alpha	5							Protect colonies from returning Klingon sleeper ship.			Leadership x2 + WEAPONS>8 OR {Any K'Ehleyr} + INTEGRITY>35 {I.K.S. T'Ong} may report here (with up to 3 personnel)
Investigate Destruction	Virtual_b01_OTF_Open_Warp	tng_41V	TNG	41 V			Mission	[S]	[FED][ROM]					30	Neutral Zone Region	Alpha	3			Neutral Zone Region;	Neutral Zone Region;			Seek cause of missing outposts.			Stellar Cartography + Diplomacy + OFFICER OR Navigation + SECURITY + Treachery
Raid Ancient Burial Site	Virtual_b01_OTF_Open_Warp	tng_42V	TNG	42 V			Mission	[P]	[NON]					40		Alpha	4			Asymmetric mission;				Seek ancient Debrune artifacts near Sakethan burial mounds.			Archaeology + SECURITY + Treachery + STRENGTH>50 May seed one {Mercenary Ship} face up here. Opponent's side: No gametext.
Revenge Plot	Virtual_b01_OTF_Open_Warp	tng_43V	TNG	43 V			Mission	[P]	[ROM][NON][CAR][FER]					35		Alpha	3							Lay genetic groundwork for vengeance against old foe.			MEDICAL + Exobiology + Treachery x2 OR any {Bok} + CUNNING>35
Salvage Borg Ship	Virtual_b01_OTF_Open_Warp	tng_44V	TNG	44 V			Mission	[P]	[FED][ROM][KLI][CAR][FER]					35*	Argolis Cluster Region	Alpha	3			Argolis Cluster Region; Asymmetric mission;	Argolis Cluster Region; Borg ship;			Study wreckage and crew member of lost scout.			Astrophysics + ENGINEER + MEDICAL + Computer Skill *+10 if a [Bor] card in play. Opponent's side: Your Borg ships may report with crew here. Points: [35]
Seize Freighter	Virtual_b01_OTF_Open_Warp	tng_45V	TNG	45 V			Mission	[S]	[KLI]					25*	Neutral Zone Region	Alpha	3			Neutral Zone Region;	Neutral Zone Region;			Hijack ship in glorious battle.			OFFICER x2 + Honor + Navigation *+5 if {Korris} or {Konmel} in crew.
Steal Technology	Virtual_b00_b01_OTF_Open_Warp	tng_46V	TNG	46 V			Mission	[S]	[ROM][KLI][NON][CAR][FER]					35		Alpha	4							Steal energy converter from remote Federation outpost.			OFFICER + Greed + Transporter Skill + Treachery When you solve, may download (or steal) an equipment here.
The Last Outpost	Virtual_b01_OTF_Open_Warp	tng_47V	TNG	47 V			Mission	[P]	[FED][FER]					35		Alpha	3							Investigate source of energy emanating from ancient T'Kon outpost.			Acquisition + SECURITY + Treachery x2 OR Diplomacy x2 + Leadership + OFFICER
Treat Plague Ship	Virtual_b01_OTF_Open_Warp	tng_48V	TNG	48 V			Mission	[S]	[FED][ROM][NON][BAJ]					25*		Alpha	2							Provide medical assistance to last members of disease-ravaged culture.			Biology + CUNNING>26 + discard one MEDICAL personnel *+10 if {Plague Planet} complete.
Visit Tranquil Colony	Virtual_b00_b01_OTF_Open_Warp	tng_49V	TNG	49 V			Mission	[P]	[FED][ROM][NON]					35		Alpha	3							Make routine stop at hospitable world near enemy space.			Diplomacy + Anthropology + ({Jean-Luc Picard} OR {Tebok} OR CUNNING>35)
Expand the Empire	Virtual_b01_OTF_Open_Warp	tng_50V	TNG	50 V	TNG		Objective											[HA]			Klingon-related interrupt;						Seeds or plays on table. Once per game, at the start of your turn, for each mission opponent seeded where you have [TNG][Kli] personnel, you may download to hand (even from outside the game) a different interrupt with "Klingon" in title or gametext. Discard objective after use.
Ferengi Commerce Operation	Virtual_b01_OTF_Open_Warp	tng_51V	TNG	51 V	TNG		Objective											[HA]			Equipment-artifacts;						Seeds or plays on table. Once per game, at the start of your turn, for each mission opponent seeded where you have [TNG][Fer] personnel, you may download one equipment there. Then, if you have [TNG][Fer] personnel at six or more such missions, you may also download one "use as equipment card" artifact to your [Fer] ship (as if earned). Discard objective after use.
Seek Out New Life	Virtual_b01_OTF_Open_Warp	tng_52V	TNG	52 V	TNG		Objective											[HA]									Seeds or plays on table. Once per game, at the start of your turn, for each mission opponent seeded where you have [TNG][Fed] personnel, you may download to hand one [TNG] personnel whose species you do not have in play. Discard objective after use.
Barron	Virtual_b01_OTF_Open_Warp	tng_53V	TNG	53 V	TNG	univ	Personnel		Federation	CIVILIAN	6	6	4							Human; Male;				Typical civilian researcher studying pre-warp civilizations throughout Federation space. Supervised an anthropological study on Mintaka III.			CIVILIAN Anthropology Archaeology Geology
Beverly	Virtual_b01_OTF_Open_Warp	tng_54V	TNG	54 V	TNG		Personnel		Federation	MEDICAL	7	8	5					[Stf]		Human; Female; Metaphasic Shield-related personnel;		Beverly Crusher		While hosting an experimental metaphasic shield test, Beverly Crusher took on the roles of diplomat, detective, coroner, and test pilot.			MEDICAL Diplomacy Law Navigation Exobiology DL/ {Starfleet Type II Phaser}
Daniel Kwan	Virtual_b01_OTF_Open_Warp	tng_55V	TNG	55 V	TNG	univ	Personnel		Federation	ENGINEER	7	6	6					[Stf]		Napean/Human; Male; Support Personnel;				1/2 Napean, 1/2 human representative of Starfleet engineers. Inherited his empathic sense from his mother. Formerly served at Utopia Planitia Yards.			ENGINEER Physics Empathy
Data (The Next Generation)	Virtual_b01_OTF_Open_Warp	tng_56V	TNG	56 V	TNG		Personnel		Federation	OFFICER	7	12	12					[Cmd]		Android; Male; Soong-type android;				Pinocchio-like in his desire, the Soong-type android would gladly trade his superior abilities to be human. Learning to whistle "Pop Goes the Weasel."			OFFICER Computer Skill Astrophysics ENGINEER When reported, select Anthropology, Physics, or Navigation.
Davies	Virtual_b01_OTF_Open_Warp	tng_57V	TNG	57 V	TNG	univ	Personnel		Federation	SCIENCE	6	7	6					[Stf]		Human; Male; Support Personnel;				Geochemist representative of science specialists assigned to Galaxy-class starships. Intrigued by the symbiotic nature of the Trill species.			SCIENCE Physics Geology
Deanna Troi (The Next Generation)	Virtual_b01_OTF_Open_Warp	tng_58V	TNG	58 V	TNG		Personnel		Federation	OFFICER	7	7	4					[Stf]		Betazoid/Human; Ambassador; Counselor; Female;				Ship's counselor and occasional ambassador. 1/2 Betazoid, 1/2 human. Formerly romantically involved with William T. Riker as his imzadi.		William T. Riker	OFFICER Empathy Anthropology Diplomacy Honor DL/ {Intuition} DL/ {Life-form Scan}
Dr. Christopher	Virtual_b01_OTF_Open_Warp	tng_59V	TNG	59 V	TNG		Personnel		Federation	SCIENCE	6	8	4							Human; Male; Metaphasic Shield-related personnel; Mission Specialist;				Subspace theoretician and husband of T'Pan. Invited to participate in a metaphasic shield test. Doubted Dr. Reyga's new technology.		T'Pan	SCIENCE SCIENCE
Geordi La Forge (The Next Generation)	Virtual_b01_OTF_Open_Warp	tng_60V	TNG	60 V	TNG		Personnel		Federation	OFFICER	7	7	6					[Stf]		Human; Male; U.S.S. Enterprise-related personnel;				Conn officer of the U.S.S. Enterprise in 2364. Son of two Starfleet officers. Blind at birth, he has used the VISOR to see since the age of five.			OFFICER At [S]: Navigation, Astrophysics, Stellar Cartography At [P]: ENGINEER, Physics, Computer Skill
Kosinski	Virtual_b01_OTF_Open_Warp	tng_61V	TNG	61 V	TNG		Personnel		Federation	ENGINEER	5	9-X	5					[Cmd]		Human; Male;				Arrogant engineer believed to have improved engine performance on several ships in 2364. Finds problem solving highly therapeutic.			ENGINEER Computer Skill Physics SCIENCE Stellar Cartography X=4 when facing a dilemma.
Lian T'su	Virtual_b01_OTF_Open_Warp	tng_62V	TNG	62 V	TNG	univ	Personnel		Federation	OFFICER	7	6	5					[Stf]		Human; Female;				Typical relief operations officer in the 24th century. Relishes the chance to explore new frontiers. Originally considered a security career.			OFFICER Navigation Transporter Skill Astrophysics
Lopez	Virtual_b01_OTF_Open_Warp	tng_63V	TNG	63 V	TNG	univ	Personnel		Federation	SECURITY	7	6	7					[Stf]		Human; Male; U.S.S. Enterprise-related personnel;				Representative of junior security officers aboard the U.S.S. Enterprise. Assigned to compile the duty roster for his department.			SECURITY Biology Honor DL/ {Federation PADD}
Martin	Virtual_b01_OTF_Open_Warp	tng_64V	TNG	64 V	TNG	univ	Personnel		Federation	MEDICAL	7	6	6					[Stf]		Human; Male; Support Personnel; U.S.S. Enterprise-related personnel;				One of many staff doctors assigned to the U.S.S. Enterprise. Took charge of sickbay in 2368 after Beverly Crusher was incapacitated.			MEDICAL Exobiology Computer Skill
Seth Mendoza	Virtual_b01_OTF_Open_Warp	tng_65V	TNG	65 V	TNG	univ	Personnel		Federation	V.I.P.	6	6	5							Human; Ambassador; Male;				One of many ambassadors serving in the Federation Diplomatic Corps. Distant relative of Earth politician. Gambler and poker player.			V.I.P. Anthropology Diplomacy Law
Baht	Virtual_b01_OTF_Open_Warp	tng_66V	TNG	66 V	TNG	univ	Personnel		Ferengi	ENGINEER	6	6	5					[Stf]		Ferengi; Male; Support Personnel;				Typical Ferengi technician. Previously served on a D'Kora-class marauder but chose to become a privateer under Lurin in search of bigger profits.		Lurin	ENGINEER Anthropology Transporter Skill
Captain Picard	Virtual_b01_OTF_Open_Warp	tng_67V	TNG	67 V	TNG		Personnel		Ferengi	OFFICER	8	8	6					<Fed>[Cmd]		Human; Captain; Infiltrator; Male;		Jean-Luc Picard	U.S.S. Stargazer	The former captain of the U.S.S. Stargazer, Jean-Luc Picard was manipulated into attacking his own ship.			OFFICER Leadership x 2 Navigation x 2 Physics DL/ {Picard Maneuver}
DaiMon Bok	Virtual_b01_OTF_Open_Warp	tng_68V	TNG	68 V	TNG		Personnel		Ferengi	OFFICER	4	9	4					[Cmd]		Ferengi; Capturing-related card; DaiMon; Male;		Bok	Kurdon	Bok could not forgive Captain Picard for the death of his son. Vengeful commander of the Kurdon.		Captain Picard	OFFICER Exobiology Treachery x 2 ENGINEER Transporter Skill DL/ {Thought Maker} Once per game, may capture {any Jean-Luc Picard} here.
Dr. Arridor (The Next Generation)	Virtual_b01_OTF_Open_Warp	tng_69V	TNG	69 V	TNG		Personnel		Ferengi	MEDICAL	4	8	5					[Stf]		Ferengi; Male;				Conspired with Goss during the Barzan negotiations. Explored the wormhole with Kol. Prefers analysis to speculation.		Goss;Kol	MEDICAL Acquisition Greed Exobiology Biology Leadership Treachery
