Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Morgan Bateson (Premiere Traditional)	Trad_Open_Warp	PT224	PT	224 TR	TNG		Personnel		Federation	OFFICER	8	4	5					[Cmd]		Human; Captain; Male; Support Personnel;			U.S.S. Bozeman	Captain Morgan Bateson was in command of the U.S.S. Bozeman when it was caught in a temporal causality loop from 2278 to 2368.			OFFICER Leadership Stellar Cartography
Mot the Barber (Premiere Traditional)	Trad_Open_Warp	PT225	PT	225 TU	TNG		Personnel		Federation	CIVILIAN	6	4	5							Bolian; Male; Mission Specialist; U.S.S. Enterprise-related personnel;				Bolian male. Convivial barber aboard the U.S.S. Enterprise. Snappy conversationalist.		U.S.S. Enterprise	CIVILIAN Barbering
Movar (Premiere Traditional)	Trad_Open_Warp	PT311	PT	311 TU	TNG		Personnel		Romulan	OFFICER	5	7	7					[Cmd]		Romulan; Duras-related; General; Male; Support Personnel;				Romulan general who secretly provided military supplies to Duras family forces during the Klingon Civil War in 2368		Duras	OFFICER Treachery Anthropology
Taibak (Premiere Traditional)	Trad_Open_Warp	PT319	PT	319 TU	TNG		Personnel		Romulan	SCIENCE	2	8	8					[Stf]		Romulan; Male;				Scientist who developed a mind control device using E-band emissions. Controlled Lt. Commander Geordi La Forge through his VISOR.		Lt. Commander Geordi La Forge	SCIENCE Treachery Biology Computer Skill
Tam Elbrun (Premiere Traditional)	Trad_Open_Warp	PT243	PT	243 TR	TNG		Personnel		Federation	V.I.P.	5	7	3							Betazoid; Male; Support Personnel;				Betazoid male with exceptional empathic abilities. Participated in the notorious Ghorusda disaster. Specialist in first contact with new life-forms.			V.I.P. Empathy x 2 Honor
Tarellian Plague Ship (Premiere Traditional)	Trad_Open_Warp	PT50	PT	50 TU	TNG		Dilemma	[S]						5						MEDICAL-related dilemma;				Ship containing the survivors of a Tarellia war plague. Infected from biological weapons, they are now refused entry everywhere.			Entire crew immediately dies from plague unless MEDICAL "beams over" (discarded) to Tarellians. Discard dilemma.
Tasha Yar (Premiere Traditional)	Trad_Open_Warp	PT244	PT	244 TR	TNG		Personnel		Federation	SECURITY	8	7	8					[Stf]		Human; Female; Support Personnel; U.S.S. Enterprise-related personnel;				Lieutenant Natasha Yar served as chief of security on the U.S.S. Enterprise. Courageous orphan of Turkana IV. Proved Lt. Commander Data fully functional.		U.S.S. Enterprise;Lt. Commander Data	SECURITY Honor Leadership
Avert Disaster (Premiere Traditional)	Trad_Open_Warp	PT146	PT	146 TR			Mission	[P]	[FED]					40		Alpha	3							Aid project to delay solidification of the planet's core.			Geology + Honor + INTEGRITY>35
Ba'el (Premiere Traditional)	Trad_Open_Warp	PT254	PT	254 TU	TNG		Personnel		Klingon	CIVILIAN	6	6	4							Klingon/Romulan; Female; Support Personnel;				1/2 Klingon, 1/2 Romulan. Romantically involved with Lieutenant Worf. Born in Romulan prison camp in Carraya system.		Lieutenant Worf	CIVILIAN Anthropology Youth
Baran (Premiere Traditional)	Trad_Open_Warp	PT290	PT	290 TU	TNG		Personnel		Non-Aligned	OFFICER	3	8	6					[Cmd]		Captain; Male; Stone of Gol-related personnel;				Male captain of a mercenary ship raiding archaeological sites to find the Stone of Gol.			OFFICER Greed Archaeology Exobiology Computer Skill
Barclay's Protomorphosis Disease (Premiere Traditional)	Trad_Open_Warp	PT16	PT	16 TR	TNG		Dilemma	[S/P]						10						MEDICAL-related dilemma; SCIENCE-related dilemma;	Android;			Contagious affliction which causes animals to de-evolve into ancestral forms. Disease named for Lieutenant Reginald Barclay.			Entire crew or Away Team (except androids) de-evolves (dies) unless MEDICAL, SCIENCE and SECURITY present. Discard dilemma.
Bochra (Premiere Traditional)	Trad_Open_Warp	PT305	PT	305 TU	TNG		Personnel		Romulan	OFFICER	7	7	6					[Stf]		Romulan; Male; Support Personnel;				Centurion serving the Romulan Star Empire. Once marooned on Galorndon Core with Lt. Commander Geordi La Forge.		Lt. Commander Geordi La Forge	OFFICER Navigation Youth
Bok (Premiere Traditional)	Trad_Open_Warp	PT291	PT	291 TU	TNG		Personnel		Non-Aligned	OFFICER	4	9	4					[Cmd]		Ferengi; DaiMon; Male;				Former Ferengi DaiMon. Son killed by Captain Jean-Luc Picard in battle. Seeks revenge at all costs.		Captain Jean-Luc Picard	OFFICER Greed ENGINEER Treachery Computer Skill
Borg Ship (Premiere Traditional)	Trad_Open_Warp	PT18	PT	18 TR	TNG		Dilemma	[S]						45										Gigantic cubic ship of the Borg collective. Possesses powerful weapons and remarkable regenerative abilities.			Self-controlling ship (WEAPONS=24, SHIELDS=24). Start here. Attacks everything. End of envery turn, moves 1 card toward and off the spaceline's long end. Destroy for bonus.
Bynars Weapon Enhancement (Premiere Traditional)	Trad_Open_Warp	PT69	PT	69 TR	TNG		Event																	Binary race closely integrated with computers. Always work in pairs. Bynars have the ability to enhance specific computerized systems.			Plays on table. Bynars enhance each of your ship's WEAPONS +2. (Cumulative.)
Chalnoth (Premiere Traditional)	Trad_Open_Warp	PT19	PT	19 TU	TNG		Dilemma	[P]						5										Anarchistic lupine race of humanoids with the reputation of violent responses to a variety of situations.			Kills one Away Team member (opponent's choice) unless 3 SECURITY OR STRENGTH>40 present. Discard dilemma.
Cloaked Mission (Premiere Traditional)	Trad_Open_Warp	PT147	PT	147 TU			Mission	[P]	[KLI]					30		Alpha	3			Homeworld;				Secretly escort covert operatives to the Romulan homeworld.			Navigation + Diplomacy + Honor
Cosmic String Fragment (Premiere Traditional)	Trad_Open_Warp	PT20	PT	20 TU	TNG		Dilemma	[S]						5										A long space object as thin as a proton but with the gravitational attraction of a hundred stars.			Ship is sucked in and destroyed unless Astrophysics OR ENGINEER OR Navigation aboard. Discard dilemma.
Covert Installation (Premiere Traditional)	Trad_Open_Warp	PT148	PT	148 TC			Mission	[P]	[ROM]					35	Neutral Zone Region	Alpha	3			Neutral Zone Region;	Neutral Zone Region;			Build hidden monitoring station in the Neutral Zone.			ENGINEER + Leadership + Treachery
Covert Rescue (Premiere Traditional)	Trad_Open_Warp	PT149	PT	149 TU			Mission	[P]	[ROM]					30		Alpha	4							Retrieve crashed scoutship in Federation territory.			Diplomacy + Leadership + CUNNING>35
Crosis (Premiere Traditional)	Trad_Open_Warp	PT111	PT	111 TR	TNG		Interrupt																	Fanatical Borg lieutenant of Lore. Captured Lt. Commander Data with the lure of emotions.			Plays on {Rogue Borg}. Doubles their STRENGTH, including himself. Two Borg = 4 STRENGTH each, three Borg = 6 STRENGTH each, etc. (Not cumulative.)
Crystalline Entity (Premiere Traditional)	Trad_Open_Warp	PT21	PT	21 TR	TNG		Dilemma	[S/P]						5						MEDICAL-related dilemma; SCIENCE-related dilemma;				Spaceborne life-form strips biological energy from planets and ships. Sensitive to modulation much like crystal can shatter from a high pitch note.			Space mission: kills all life on ship unless SHIELDS>6 OR Music aboard. Planet mission: kills entire Away Team unless SCIENCE and MEDICAL present. Discard dilemma.
Cultural Observation (Premiere Traditional)	Trad_Open_Warp	PT150	PT	150 TR			Mission	[P]	[FED]					40		Alpha	4							Aid observation of primitive society.			Anthropology + Leadership + STRENGTH>30
Cytherians (Premiere Traditional)	Trad_Open_Warp	PT22	PT	22 TR	TNG		Dilemma	[S]						15										Race which explores the galaxy by giving other species the temporary ability and strong compulsion to come to them.			Place on ship. Ship must do nothing but travel to far end of spaceline at normal speed. When reached, discard dilemma. Score points.
Data (Premiere Traditional)	Trad_Open_Warp	PT204	PT	204 TR	TNG		Personnel		Federation	OFFICER	8	12	12					[Cmd]		Android; Male; Soong-type android;				Lt. Commander Data is a sentient android created by Dr. Noonien Soong. Has positronic brain. Desires to be human. Once left his head in San Francisco.		Dr. Noonien Soong	OFFICER ENGINEER Computer Skill x 2 Music Astrophysics Exobiology
Deanna Troi (Premiere Traditional)	Trad_Open_Warp	PT205	PT	205 TR	TNG		Personnel		Federation	OFFICER	8	7	4					[Cmd]		Betazoid/Human; Counselor; Female; Support Personnel; U.S.S. Enterprise-related personnel;				Lt. Commander Deanna Troi is a 1/2 Betazoid, 1/2 Human empath. Counselor for U.S.S. Enterprise. Imzadi to William T. Riker. Loves chocolate.		William T. Riker	OFFICER Empathy Diplomacy
Devinoni Ral (Premiere Traditional)	Trad_Open_Warp	PT292	PT	292 TU	TNG		Personnel		Non-Aligned	V.I.P.	3	9	3							Betazoid/Human; Male;				1/4 Betazoid 3/4 Human. Skilled negotiator. Abused his empathic powers to gain advantage. Had a dangerous liaison with Counselor Deanna Troi.	War Council	CCounselor Deanna Troi	V.I.P. Empathy Diplomacy Treachery
Devoras (Premiere Traditional)	Trad_Open_Warp	PT358	PT	358 TR	TNG		Ship		Romulan	D'deridex Class	9	8	8						[Cmd][Stf][Stf] 	Cloaking Device; Romulan ship; Tractor Beam;			Admiral Mendak	Warbird used to accomplish the escape of Romulan spy Selok from the Federation in 2367. Commanded by Admiral Mendak.		Selok	Cloaking Device, Tractor Beam
Diplomacy Mission (Premiere Traditional)	Trad_Open_Warp	PT151	PT	151 TU			Mission	[P]	[FED]					30		Alpha	3							Mediate dispute between civilizations on Peliar Zel's two moons.			Diplomacy + INTEGRITY>30 + CUNNING>30
Dr. La Forge (Premiere Traditional)	Trad_Open_Warp	PT206	PT	206 TR	TNG		Personnel		Federation	SCIENCE	7	7	4					[Stf]		Human; Male; Mission Specialist;				Dr. La Forge is a Starfleet specialist in xenology and exobiology. Father of Lt. Commander Geordi La Forge. Husband of Captain Silva La Forge.		Captain Silva La Forge;Lt. Commander Geordi La Forge	SCIENCE Exobiology
Dr. Reyga (Premiere Traditional)	Trad_Open_Warp	PT294	PT	294 TU	TNG		Personnel		Non-Aligned	SCIENCE	6	9	5					[Stf]		Ferengi; Male; Metaphasic Shield-related personnel;				Ferengi male scientist. Inventor of the revolutionary, but controversial, metaphasic shield technology. Endured skepticism from the scientific community.			SCIENCE ENGINEER Stellar Cartography Astrophysics
Gaps in Normal Space (Premiere Traditional)	Trad_Open_Warp	PT75	PT	75 TU	TNG		Event																	Pockets of space, such as those in the Mar Oscura nebula, dangerously phase out when coming in contact with a ship.			Place between two Mission cards. Creates a gap with a span of 4. Ships stopping on the gap kill one personnel (random selection).
Ocett (Premiere Traditional)	Trad_Open_Warp	PT301	PT	301 TU	TNG		Personnel		Non-Aligned	OFFICER	6	8	6					[Cmd]		Cardassian; Female; Gul;				Gul Ocett, Cardassian female officer. Commander of a Galor-class warship. Pursuer of DNA program.	Central Command		OFFICER Archaeology Navigation Honor
Roga Danar (Premiere Traditional)	Trad_Open_Warp	PT302	PT	302 TR	TNG		Personnel		Non-Aligned	SECURITY	5	9	12					[Cmd]		Angosian; Male;				Angosian male. Biochemically altered into a formidable perfect warrior ranked Subhadar.			SECURITY ENGINEER Computer Skill Biology Leadership
Rogue Borg Mercenaries (Premiere Traditional)	Trad_Open_Warp	PT134	PT	134 TC	TNG		Interrupt																	Upon Hugh's return to the Borg collective, the Borg became self-aware. Soon, many unquestioningly followed their first leader, Lore.			Plays on any occupied ship. Battles crew now and at start of every players' turn. Two Borg =2 STRENGTH each, three =3 each, etc. Surviving Borg remain.
Romulan Disruptor (Premiere Traditional)	Trad_Open_Warp	PT62	PT	62 TC	TNG		Equipment													disruptor; hand weapon;	Romulan;			Directed-energy weapon used by Romulans and other races. Disruptor fire can be identified by a high residue of antiprotons that linger for several hours.			Romulan and Non-Aligned use only. Each of your personnel STRENGTH +2 where present. (Cumulative.)
Romulan Outpost (Premiere Traditional)	Trad_Open_Warp	PT106	PT	106 TC	TNG	univ	Facility		Romulan	Outpost			32								Romulan;			Romulus is one of the two homeworlds for the Romulans. The Romulan Star Empire establishes outposts throughout its territory.			Seed one OR build where you have a Romulan ENGINEER.
Romulan PADD (Premiere Traditional)	Trad_Open_Warp	PT63	PT	63 TC	TNG		Equipment														Romulan;			Standard Romulan Personal Access Display Device for computerized information.			Romulan use only. Each of your personnel CUNNING +2 where present. (Cumulative.)
Thomas Riker (Premiere Traditional)	Trad_Open_Warp	PT246	PT	246 TR	TNG		Personnel		Federation	OFFICER	8	7	6					[Cmd]		Human; Male;				Lt. Commander Thomas Riker is William Riker's double. Created during a transporter accident in 2361.		William Riker	OFFICER Leadership Navigation Geology Music
Thought Maker (Premiere Traditional)	Trad_Open_Warp	PT5	PT	5 TR	TNG		Artifact																	Outlawed Ferengi mind control device. Transmits signals that implant sensory experiences and triggers emotions and memories.			Place in hand until played once as an Interrupt card. Look at opponent's draw deck for ten seconds and rearrange as desired.
Dr. Selar (Premiere Traditional)	Trad_Open_Warp	PT208	PT	208 TU	TNG		Personnel		Federation	MEDICAL	7	8	7					[Stf]		Vulcan; Female; Support Personnel; U.S.S. Enterprise-related personnel;				Dr. Selar is a female Vulcan medical doctor. Served aboard the U.S.S. Enterprise for many years.		U.S.S. Enterprise	MEDICAL Computer Skill Mindmeld
Duras (Premiere Traditional)	Trad_Open_Warp	PT258	PT	258 TR	TNG		Personnel		Klingon	V.I.P.	4	6	8					[Cmd]		Klingon; Duras-related; High Council; Male;				Son of Ja'rod. Contender for leadership of the Klingon High Council. Member of a powerful political family.	The Great Hall	Ja'rod	V.I.P. Leadership Computer Skill Treachery Greed
El-Adrel Creature (Premiere Traditional)	Trad_Open_Warp	PT23	PT	23 TU	TNG		Dilemma	[P]																Nearly invisible predatory electromagnetic creature. First encountered by Dathon and Captain Jean-Luc Picard on El-Adrel IV.			Attacks two strongest members in Away Team (owner's choice if tie). Kills one of them (random selection) unless their combined STRENGTH>16. Discard dilemma.
Emergency Transporter Armbands (Premiere Traditional)	Trad_Open_Warp	PT114	PT	114 TC	TNG		Interrupt																	Devices which allow quick remote activation of a transporter when in danger.			Beam your Personnel up or down at any time, except during a dilemma (unless specifically permitted). May be used during battle before the winner is determined.
Energy Vortex (Premiere Traditional)	Trad_Open_Warp	PT115	PT	115 TU	TNG		Interrupt																	Whirlpool-like space/time phenomena that can destroy a ship, as it nearly did the U.S.S. Enterprise in 2365.			Plays immediately after opponent plays any non-Interrupt card from hand. That card returns to their hand and a different one must be played instead.
Engineering Kit (Premiere Traditional)	Trad_Open_Warp	PT55	PT	55 TC	TNG		Equipment													ENGINEER-related equipment;				Representative of specialized engineering instruments. Such equipment has been developed by many races.			Gives all of your OFFICER-classification personnel the extra skill of ENGINEER where present.
Engineering PADD (Premiere Traditional)	Trad_Open_Warp	PT56	PT	56 TC	TNG		Equipment													ENGINEER-related equipment; SCIENCE-related equipment;				Representative of Personal Access Display Devices designed specifically for engineering functions. Such equipment has been developed by many races.			Gives all of your SCIENCE-classification personnel the extra skill of ENGINEER where present.
Eric Pressman (Premiere Traditional)	Trad_Open_Warp	PT209	PT	209 TU	TNG		Personnel		Federation	OFFICER	5	6	5					[Cmd]		Human; Captain; Male; Support Personnel;			U.S.S. Pegasus	Captain Eric Pressman commanded the U.S.S. Pegasus before it was lost in space following a failed experiment.			OFFICER ENGINEER Treachery
Escape Pod (Premiere Traditional)	Trad_Open_Warp	PT116	PT	116 TC	TNG		Interrupt																	Angosian escape pod used by Roga Danar in 2366. Escape pods can be used in an emergency to save a crew.			Plays on ship being destroyed. Escape pod saves entire crew. Unseen by enemy ships, crew remains in pod until personnel rescued. Discard after rescue.
Espionage: Federation on Klingon (Premiere Traditional)	Trad_Open_Warp	PT71	PT	71 TC	TNG		Event																	Federation intelligence-gathering has often relied on sympathetic informants and electronic surveillance.			Plays on any Klingon mission. Your Federation personnel may now attempt this mission. Discard after mission completed.
Espionage: Klingon on Federation (Premiere Traditional)	Trad_Open_Warp	PT72	PT	72 TC	TNG		Event													Espionage... on Federation;				Klingon espionage against the Federation has included data stolen from Relay Station 47 by Morag.			Plays on any Federation mission. Your Klingon personnel may now attempt this mission. Discard after mission completed.
Espionage: Romulan on Federation (Premiere Traditional)	Trad_Open_Warp	PT73	PT	73 TC	TNG		Event													Espionage... on Federation; Romulan espionage;				Romulan spies are everywhere.			Plays on any Federation mission. Your Romulan personnel may now attempt this mission. Discard after mission completed.
Espionage: Romulan on Klingon (Premiere Traditional)	Trad_Open_Warp	PT74	PT	74 TC	TNG		Event													Romulan espionage;				Romulan espionage against Klingons has included efforts to de-stabilize the Klingon government by programming assassins and supporting rebel forces.			Plays on any Klingon mission. Your Romulan personnel may now attempt this mission. Discard after mission completed.
Etana Jol (Premiere Traditional)	Trad_Open_Warp	PT295	PT	295 TU	TNG		Personnel		Non-Aligned	SCIENCE	2	8	3					[Cmd]		Ktarian; Female; Support Personnel;				Ktarian female. Attempted to use a psychotropically addictive game to gain control of the Federation in 2368.			SCIENCE Treachery Biology
Evacuation (Premiere Traditional)	Trad_Open_Warp	PT152	PT	152 TU			Mission	[P]	[FED]					30		Alpha	3							Evacuate American Indian colony.			Diplomacy x3 + STRENGTH>35
Evaluate Terraforming (Premiere Traditional)	Trad_Open_Warp	PT153	PT	153 TR			Mission	[P]	[FED]					35		Alpha	3							Evaluate progress of terraforming station.			MEDICAL + Biology + Exobiology OR {Geordi La Forge} + MEDICAL x2
Evek (Premiere Traditional)	Trad_Open_Warp	PT296	PT	296 TU	TNG		Personnel		Non-Aligned	OFFICER	7	5	7					[Cmd]		Cardassian; Gul; Male;				Gul Evek, Cardassian male officer. Administers area ceded to Cardassians in a treaty with the Federation.	Central Command		OFFICER Diplomacy Leadership Anthropology
Excavation (Premiere Traditional)	Trad_Open_Warp	PT154	PT	154 TC			Mission	[P]	[FED][ROM]					25		Alpha	3							Assist new archaeological dig.			Archaeology OR CUNNING>32
Explore Black Cluster (Premiere Traditional)	Trad_Open_Warp	PT155	PT	155 TR			Mission	[S]	[FED][KLI]					35		Alpha	3							Study and evaluate enormous cluster of collapsed proto-stars.			Stellar Cartography + Leadership OR CUNNING>50
Explore Dyson Sphere (Premiere Traditional)	Trad_Open_Warp	PT156	PT	156 TR			Mission	[S]	[FED]					35		Alpha	2							Study gigantic structure completely enclosing a star.			ENGINEER x3 + Navigation + Computer Skill + Physics
Explore Typhon Expanse (Premiere Traditional)	Trad_Open_Warp	PT157	PT	157 TR			Mission	[S]	[ROM][KLI]					35		Alpha	5							Trace time distortion reported in this desolate region.			Astrophysics + Stellar Cartography OR CUNNING>50
Expose Covert Supply (Premiere Traditional)	Trad_Open_Warp	PT158	PT	158 TU			Mission	[P]	[ROM]					30		Alpha	4			Homeworld;				Uncover covert supply lines supporting rebels on the Klingon Homeworld.			Treachery x3 + Navigation
Extraction (Premiere Traditional)	Trad_Open_Warp	PT159	PT	159 TR			Mission	[P]	[ROM]					35		Alpha	3							Secretly acquire age-reversal drug reportedly under development.			Treachery + Biology + MEDICAL
Federation Outpost (Premiere Traditional)	Trad_Open_Warp	PT104	PT	104 TC	TNG	univ	Facility		Federation	Outpost			30											Earth is a member of the United Federation of Planets. The Federation establishes outposts throughout its territory.			Seed one OR build where you have a Federation ENGINEER.
Federation PADD (Premiere Traditional)	Trad_Open_Warp	PT57	PT	57 TC	TNG		Equipment																	Standard Federation Personal Access Display Device for computerized information.			Federation use only. Each of your personnel CUNNING +2 where present. (Cumulative.)
Female's Love Interest (Premiere Traditional)	Trad_Open_Warp	PT24	PT	24 TC	TNG		Dilemma	[P]												female-related dilemma;	Female;			A genetically-engineered leader. Once romantically involved with Deanna Troi.			Female Away Team member (random selection) runs off with lover to furthest planet, where Can be rescued later. Discard dilemma.
Fever Emergency (Premiere Traditional)	Trad_Open_Warp	PT160	PT	160 TC			Mission	[P]	[KLI]					35		Alpha	3							Coordinate aid for Correllium Fever outbreak.			MEDICAL x3 OR Biology + OFFICER
Firestorm (Premiere Traditional)	Trad_Open_Warp	PT25	PT	25 TU	TNG		Dilemma	[P]																With advanced technology, personnel can work together to survive natural phenomenon such as the firestorms on Bersallis III.			Kills all Away Team members with INTEGRITY<5 (but Away Team may escape using {Emergency Transporter Armbands}). Discard dilemma.
First Contact (Premiere Traditional)	Trad_Open_Warp	PT161	PT	161 TU			Mission	[P]	[FED]					30		Alpha	2							Make initial contact with advancing civilization.			Diplomacy + Empathy
Fleet Admiral Shanthi (Premiere Traditional)	Trad_Open_Warp	PT211	PT	211 TU	TNG		Personnel		Federation	OFFICER	9	6	4					[Cmd]		Human; Admiral; Female; Support Personnel;				Fleet Admiral Shanthi authorized the blockade of Romulan forces covertly supporting the Klingon Civil War in 2368.	Office of the President		OFFICER Leadership Diplomacy
Full Planet Scan (Premiere Traditional)	Trad_Open_Warp	PT117	PT	117 TU	TNG		Interrupt																	Sensor instruments can make detailed scans of a planet surface and atmosphere.			Glance at all seed cards located under one planet mission for twenty seconds.
Genetronic Replicator (Premiere Traditional)	Trad_Open_Warp	PT76	PT	76 TU	TNG		Event																	Medical device invented by Toby Russell. Capable of growing replacements for damaged organs.			Plays on table. Prevents any of your Aeay Team members from being killed if 2 MEDICAL present.
Geordi La Forge (Premiere Traditional)	Trad_Open_Warp	PT212	PT	212 TR	TNG		Personnel		Federation	ENGINEER	8	8	6					[Cmd]		Human; Male; U.S.S. Enterprise-related personnel;				Lt. Commander Geordi La Forge is chief engineer aboard the U.S.S. Enterprise. Great sense of humor. Fortuitous holodeck programmer.		U.S.S. Enterprise	ENGINEER ENGINEER Navigation Physics Computer Skill
Goddess of Empathy (Premiere Traditional)	Trad_Open_Warp	PT77	PT	77 TR	TNG		Event																	Lt. Reginald Barclay created a fantasy holodeck simulation of Counselor Deanna Troi. Her empathic abilities help other personnel anticipate danger.			Plays on table until the end of your next turn. Neither you nor your opponent can play Interrupt cards (except {Kevin Uxbridge} or {Q2}). Discard after use.
Gowron (Premiere Traditional)	Trad_Open_Warp	PT261	PT	261 TR	TNG		Personnel		Klingon	V.I.P.	8	7	9					[Cmd]		Klingon; Duras-related; High Council; High Council Leader; Male;				Son of M'Rel. Leader of the Klingon High Council after defeating the Duras forces in the Klingon Civil War of 2367-68.	The Great Hall	M'Rel;Duras	V.I.P. Leadership x 2 Diplomacy Honor
Gravitic Mine (Premiere Traditional)	Trad_Open_Warp	PT26	PT	26 TU	TNG		Dilemma	[S]												SCIENCE-related dilemma;				Free-floating weapon used against space vehicles. The U.S.S. Denver struck such a mine, which caused it to crash in the Mericor System.			Ship damaged unless SCIENCE and Navigation aboard. Discard dilemma.
Hologram Ruse (Premiere Traditional)	Trad_Open_Warp	PT27	PT	27 TU	TNG		Dilemma	[P]																Holograms can be used to create realistic fantasy worlds.			Experience enemy hologram trick. You are tempted to divulge secrets. Impassable unless INTEGRITY>30 and CUNNING>30.
Holo-Projectors (Premiere Traditional)	Trad_Open_Warp	PT78	PT	78 TU	TNG		Event																	The hologram projector on Minos is an example of planet-based interactive holographic technology.			Plays on a planet mission. [Holo] cards may exist on this planet.
Honor Challenge (Premiere Traditional)	Trad_Open_Warp	PT118	PT	118 TR	TNG		Interrupt													Klingon-related interrupt;	Klingon;			The call to glory inspires the Klingon warrior to maximum fierceness and honor, as symbolized by the Bat'telh championship trophy.			Plays just after an Away Team battle is initiated. Each Klingon with Honor immediately kills one opponent with Treachery. Battle continues.
Horga'hn (Premiere Traditional)	Trad_Open_Warp	PT2	PT	2 TR	TNG		Artifact																	Mysterious symbol of sexuality from the pleasure planet of Risa. To own one is to call forth its powers. To display one is to announce that the owner is seeking jamaharon.			Immediately plays on table. Artifact allows you to take doube turns from now on. (Not cumulative.)
Hugh (Premiere Traditional)	Trad_Open_Warp	PT119	PT	119 TR	TNG		Interrupt																	The Federation named a rescued Borg, Hugh. When he returned, his newly acquired self-aware personality collapsed the Borg collective.			Nullifies attack by {Borg Ship} for this turn OR destroys (discard) all {Rogue Borg} at one location.
Hunt for DNA Program (Premiere Traditional)	Trad_Open_Warp	PT162	PT	162 TR			Mission	[P]	[FED][ROM][KLI]					55		Alpha	5							Seek and secure last strand of DNA program on this desert planet.			Archaeology x3 + Computer Skill + Biology + Leadership + STRENGTH>40
Hyper-Aging (Premiere Traditional)	Trad_Open_Warp	PT28	PT	28 TU	TNG		Dilemma	[P]						5						MEDICAL-related dilemma; SCIENCE-related dilemma;				Disease created accidentally at the Darwin Genetic Research Station on Gagarin IV. Causes rapid aging and death.			Mission continues but entire Away Team is quarantined and dies at the end of the third full turn unless SCIENCE and 2 MEDICAL present by that time.
I.K.C. Bortas (Premiere Traditional)	Trad_Open_Warp	PT344	PT	344 TR	TNG		Ship		Klingon	Vor'cha Class	9	9	7						[Cmd][Stf][Stf] 	Cloaking Device; Klingon ship; Tractor Beam;				Flagship commanded by Gowron during the Klingon Civil War of 2367-68. Lieutenant Worf briefly served aboard as a weapons officer.			Cloaking Device, Tractor Beam
I.K.C. Buruk (Premiere Traditional)	Trad_Open_Warp	PT345	PT	345 TR	TNG		Ship		Klingon	K'vort Class	8	6	7						[Stf] 	Bird-of-Prey; Cloaking Device; Klingon ship; Tractor Beam;				Klingon Bird-of-Prey used to transport Gowron to rendezvous with the U.S.S. Enterprise in 2367.		Gowron;U.S.S. Enterprise	Cloaking Device, Tractor Beam
I.K.C. Hegh'ta (Premiere Traditional)	Trad_Open_Warp	PT346	PT	346 TR	TNG		Ship		Klingon	K'vort Class	8	7	7						[Stf] 	Bird-of-Prey; Cloaking Device; Klingon ship; Tractor Beam;			Kurn	Bird-of-Prey commanded by Kurn in support of Gowron during the Klingon Civil War of 2367-68.			Cloaking Device, Tractor Beam
I.K.C. Pagh (Premiere Traditional)	Trad_Open_Warp	PT348	PT	348 TR	TNG		Ship		Klingon	K'vort Class	8	7	6						[Stf] 	Cloaking Device; Klingon ship; Tractor Beam;			Captain Kargan	Battle cruiser under the command of Captain Kargan. Commander William T. Riker served aboard as an exchange officer in 2365.		Commander William T. Riker	Cloaking Device, Tractor Beam
I.K.C. Qu'Vat (Premiere Traditional)	Trad_Open_Warp	PT349	PT	349 TR	TNG		Ship		Klingon	Vor'cha Class	9	8	8						[Cmd][Stf][Stf] 	Cloaking Device; Klingon ship; Tractor Beam;				Attack cruiser that carried Governor Torak on an investigation into the death of a Starfleet officer at Relay Station 47.		Governor Torak	Cloaking Device, Tractor Beam
I.K.C. Vorn (Premiere Traditional)	Trad_Open_Warp	PT351	PT	351 TU	TNG		Ship		Klingon	K'vort Class	8	7	6						[Stf] 	Bird-of-Prey; Cloaking Device; Duras-related; Klingon ship; Tractor Beam;				Klingon Bird-of-Prey used to transport Duras to meet with the Klingon Arbiter of Succession in 2367.			Cloaking Device, Tractor Beam
Iconia Investigation (Premiere Traditional)	Trad_Open_Warp	PT163	PT	163 TR			Mission	[P]	[ROM]					35	Neutral Zone Region	Alpha	3			Neutral Zone Region;	Neutral Zone Region;			Investigate Federation incursion in the Neutral Zone.			Archaeology + Computer Skill x2
Iconian Computer Weapon (Premiere Traditional)	Trad_Open_Warp	PT29	PT	29 TC	TNG		Dilemma	[S]												SCIENCE-related dilemma; Virus-related dilemma;				Highly destructive virus from the ancient extinct Iconians. Transmitted to target vessels via a probe.			Unless SCIENCE present, re-boot by discarding all non-personnel cards in hand and replenish from top of draw deck. Discard dilemma.
Impassable Door (Premiere Traditional)	Trad_Open_Warp	PT30	PT	30 TC	TNG		Dilemma	[P]																Forcefields across door or hallway openings are commonly used to bar entry.			To get through this door, Away Team must have Computer Skill present.
Incoming Message - Federation (Premiere Traditional)	Trad_Open_Warp	PT120	PT	120 TU	TNG		Interrupt														Federation ship;			Messages and directives are sent, faster than light, on subspace radio signals amplified by networks of relay stations.			"Your ship must immediately return to the nearest Federation outpost, full speed." Place on one Federation ship until outpost reached, then discard.
